CODE;NOM;PRE;ALT;DIS;ABR;LAT;LNG
1;EUREKA         ;1010;10;2;NON;40,8;-124,2
2;RED-BLUFF      ;590;100;155;OUI;40,2;-122,2
3;THERMAL        ;460;1270;112;OUI;33,8;-116,2
4;FORT-BRAGG     ;950;20;2;NON;39,4;-123,8
5;SODA-SPRING    ;1250;2060;240;NON;39,3;-120,4
6;SAN-FRANCISCO  ;550;20;8;NON;37,8;-122,5
7;SACRAMENTO     ;460;10;128;OUI;38,5;-121,5
8;SAN-JOSE       ;360;30;45;OUI;37,4;-121,9
9;GIANT-FOREST   ;1080;1940;232;NON;36,6;-118,7
10;SALINAS        ;350;20;19;OUI;36,7;-121,6
11;FRESNO         ;240;100;182;OUI;36,7;-119,8
12;Pt-PIEDRAS     ;490;20;2;NON;35,7;-121,3
13;PASA-ROBLES    ;400;230;50;OUI;35,7;-120,7
14;BAKERSFIELD    ;150;150;120;OUI;35,4;-119
15;BISHOP         ;150;1250;317;OUI;37,3;-118,4
16;MINERAL        ;1210;1480;227;NON;40,4;-121,6
17;SANTA-BARBARA  ;460;40;2;NON;34,4;-119,7
18;SUSANVILLE     ;460;1270;317;OUI;40,3;-120,6
19;TULE-LAKE      ;250;1230;224;OUI;41,9;-121,5
20;NEEDLES        ;120;280;307;OUI;34,8;-114,6
21;BURBANK        ;370;210;75;NON;34,2;-118,3
22;LOS-ANGELES    ;380;100;26;NON;34,1;-118,3
23;LONG-BEACH     ;310;20;19;NON;33,8;-118,2
24;LOS-BANOS      ;210;40;118;OUI;37,8;-118,1
25;BLYTHE         ;100;80;248;OUI;33,6;-114,6
26;SAN-DIEGO      ;250;10;8;NON;32,7;-117,2
27;DAGGET         ;110;640;136;OUI;34,1;-116,9
28;DEATH-VALLEY   ;40;-50;310;OUI;36,5;-116,4
29;CRESCENT-CITY  ;1900;10;2;NON;41,7;-124,2
30;COLUSA         ;410;20;146;OUI;39,2;-122